schema	slabbed-rig-hanging-direct-state-v1
state_hash	f3e0b13081b88db0c3722f2bedde9a2a737f938f75d5107e79e7dc4a7102c70f
sequence	8
predecessor_hash	b56984c6319922ffa362060e0b9689d13ab50aa0a1df280e8310b56c956e1e50
execution_contract	rig3b2b1-route6143-topology42-selectorpage1-v1
provenance	AUTO_ITEM_USEON_EXPLICIT_STACK_NULL_PLAYER_PROXY
player_proof	ABSENT
client_proof	ABSENT
owner_key	6a02298308838e4527daeacac2ded4ade2851d73499e53e1730a762eedec357e
world_key	e984d84acbed5af5211a045f130d9d74e816f96da5a07095658aeb6cb3cf34bf
dimension	minecraft:overworld
player_uuid	bc6fda81-b928-54c7-8b48-34eadba544a9
run_id	d2747b19952f0f8379d7a100cc2ec6a910a64129866917c92bd8dfd06457c06a
run_nonce	06d46aaf-9675-3cc4-8073-57cdc02e237b
build_git_sha	unknown
runtime_content_sha256	80d1acfb2b307116a5af1d65e43d131309fc31fe617550151e27c6533a8d052f
minecraft_version	26.2
rig3a_catalog_hash	09d9c71f8f5dfb326c48074732890b252467b4f3df161206aeef5504a0c28563
topology_catalog_hash	64f27974fcd65f7a4b2b6d57f8dd724cab9b12dff08f18c4b55e4057b4cd57ea
rig3b1_execution_identity	bd5b973d49d7b43af10904f2f4818dc60598d51e1cfc25a0e63fbde610434565
painting_registry_hash	724d6eeb61f7a49d50c3ba4fcaae22dba0a1b24f3eb8f985736f5abd45c003c9
universe_hash	60e55774f0cbe5558e9d09155324ade7867ee69e0b6cd2c13b12361ecf4bcd24
plan_hash	3477e92c43b3a5bbc4429452333423a4f9e21df92e7b89a43beb45a9dbc693e0
semantic_page_id	painting-page-v1:sha256:39e81804047a407ee6e93a1c5d03fa4c09c492e882387142bc2d9a804edb6a08
route_index	6143
topology_index	42
selector_page	1
frozen_dy_enabled	true
base	8,64,8
facing	west
phase	CLEARING_ENTITIES
next_case_ordinal	1
planned_artifact	6f39178d1efd97ebbcfdc62e227d6cd92d31deaee32b44af08f7b874ac883f39
immediate_artifact	NONE
final_artifact	NONE
cleared_artifact	NONE
scheduler_process_epoch	NONE
scheduler_generation	0
clear_started	true
clear_entity_cursor	1
clear_attachment_cursor	0
clear_cell_cursor	0
detail	legacy fixture entity clear receipt
reserved_cell	8,64,8
reserved_cell	8,65,8
reserved_cell	9,65,8
planned_authored_cell	8,64,8
planned_authored_cell	8,65,8
authored_cell	8,64,8	5f8faece8f1b0fbf296f58ca503e231a173836dd848a66ea44e719d4bb430529
authored_cell	8,65,8	dd0f3c6aa0a3905842ec5bffed9cf7be59d84959c52ce24af8deb3749ef5694d
authored_attachment	8,64,8	c1935b0c755654e9864ab7c456162fb5b2bd87e44c1bd8bed74759ccd82945d3
authored_attachment	8,65,8	b8e8c95b904766d5b956d3ce57e1c71b2218dec1472c02aab7c000d499d443a1
case	0	attempt-0	selector-0	7363d79dca46fd82caf84ca772992c20e95a07bb6436975a1a67d1b52940dc01	IMMEDIATE	PLACED	fd9aa97b21d353e1dd99bd4cf9aeda4ed70b7476100f7dddf0b57bf3f7cbb144
case	1	attempt-1	selector-1	273fdd106845612e759421b06db9b832eef1f980c506274811d9cd83617a0bdf	PENDING	NONE	NONE
case	2	attempt-2	selector-2	d827551709e1ad5e20ee1d23ce9f3a9e68d33c067251506c6aafcdfd9767f8ef	PENDING	NONE	NONE
case	3	attempt-3	selector-3	74c2cc05d0a4260f328d0b7c7aa82356d1eb0953d7bc82446842e5bb2e4a71d0	PENDING	NONE	NONE
case	4	attempt-4	selector-4	207242d513e06eb2a6ad304282631d8056c4b8b4e5fa0d3a9b222a76033880b5	PENDING	NONE	NONE
case	5	attempt-5	selector-5	26ed9f1dcdd3b8f5dca31f0d908bf7682ff633503b3845f015082b66ede4d311	PENDING	NONE	NONE
case	6	attempt-6	selector-6	478a02c84bfc18e5c4db8c024a918ad4aa23582f64d7103d451c5698a24762ab	PENDING	NONE	NONE
case	7	attempt-7	selector-7	7461d94c04c388a9d6cc931e5532b867054b4c65fc02e0006b7cd3729f9446d8	PENDING	NONE	NONE
case	8	attempt-8	selector-8	0d968ec76a49d12ab2a6a4130fdc9de23208e1641bcc8755bc5b609a0f7df365	PENDING	NONE	NONE
case	9	attempt-9	selector-9	2468da35d79882e865f3c3885dc1fd1af701f9911e19ba055a178c5916cc613c	PENDING	NONE	NONE
case	10	attempt-10	selector-10	8a694038561dae7a017db14e7af4b7f7681cc337362b90563dbc33f60d3862b3	PENDING	NONE	NONE
case	11	attempt-11	selector-11	a65d4450a4c4f16ba523f780bab976579bb4ee854cb8ba43fc538b66bb011459	PENDING	NONE	NONE
case	12	attempt-12	selector-12	c2759e0574180f426bbae707d03a95dc3b6cdf5408974682bd3b95bd29dabe6e	PENDING	NONE	NONE
case	13	attempt-13	selector-13	105f2c9b4f76ad5b274819b6d35ba45ac59d364c6de87cd7d5164d1149103551	PENDING	NONE	NONE
case	14	attempt-14	selector-14	7b564ef74989611256e1c79130552af08ebe79b8011c24cf459f97e1fc015ba6	PENDING	NONE	NONE
